iso3,year,gdppc_ppp
KAZ,1991,14877.5273541269
KEN,1991,4102.47677512965
KGZ,1991,5520.42979891313
KHM,1991,2731.37973720314
KIR,1991,2047.15376376788
KNA,1991,14084.6831940102
KOR,1991,15784.4668669974
KWT,1991,28633.9695922465
LAC,1991,12460.0534264415
LAO,1991,2033.58258303281
LBN,1991,7828.17201077656
LBR,1991,1819.49785292522
LBY,1991,20506.8762691578
LCA,1991,17080.7989746533
LCN,1991,12604.2214382743
LDC,1991,1935.20921193761
LIC,1991,2086.38447549572
LKA,1991,4735.81940023678
LMC,1991,3003.42850137128
LMY,1991,4470.10258762682
LSO,1991,1494.24032446777
LTE,1991,6501.09244284713
LTU,1991,19384.8179312258
LUX,1991,87313.7176181066
LVA,1991,15376.090576901
MAC,1991,54602.0544901621
MAR,1991,4656.1259765625
MDA,1991,13342.0600237962
MDG,1991,1789.84169366249
MDV,1991,8799.25510927462
MEA,1991,9095.26186314465
MEX,1991,17511.7313092808
MHL,1991,3828.46355230266
MIC,1991,4638.66053060891
MKD,1991,12153.5487965327
MLI,1991,2087.9190293987
MLT,1991,18832.1301983511
MMR,1991,759.282764169726
MNA,1991,6297.01751129194
MNG,1991,5874.25558231388
MOZ,1991,563.512103416232
MRT,1991,5456.55576032365
MUS,1991,9358.88578338005
MWI,1991,1104.3904622212
MYS,1991,12795.0498964228
NAC,1991,43289.6345077585
NAM,1991,7618.33278184449
NER,1991,1362.74545343526
NGA,1991,5301.36342299095
NIC,1991,4113.68749893654
NLD,1991,43833.4841712698
NOR,1991,58588.4683793671
NPL,1991,1874.27513595212
NRU,1991,23836.9645933961
NZL,1991,28924.7432009087
OED,1991,33121.7208624292
OMN,1991,35574.6761369599
OSS,1991,14076.228316401
PAK,1991,3252.35104026309
PAN,1991,10994.5496018421
PER,1991,6322.5749048607
PHL,1991,4378.39532090518
PLW,1991,18301.0508681131
PNG,1991,3358.18865205789
POL,1991,11879.7539252619
PRE,1991,3246.30034933887
PRI,1991,27162.1507880615
PRT,1991,28443.7945360373
PRY,1991,10040.3122459136
PSS,1991,5293.20281010757
PST,1991,36411.6822814656
QAT,1991,68122.8639906324
ROU,1991,14333.0301191021
RUS,1991,28066.921875
RWA,1991,1072.69710641561
SAS,1991,2207.15229366238
SAU,1991,67268.5518488763
SDN,1991,2591.869140625
SEN,1991,2917.01427785027
SGP,1991,47251.6944416002
SLB,1991,2418.36579584292
SLE,1991,2734.96862548027
SLV,1991,5960.05892897788
SOM,1991,837.26702279507
SSA,1991,3990.11100791024
SSF,1991,3692.96647842761
SST,1991,12767.2103079705
STP,1991,3844.8963771482
SUR,1991,17493.4962257426
SVK,1991,14962.1155726764
SVN,1991,23074.6686073269
SWE,1991,39812.3177083366
SWZ,1991,5325.35245647887
SYC,1991,15695.670838946
SYR,1991,6081.08907103889
TCD,1991,1790.73791098353
TEA,1991,2698.51152035266
TEC,1991,18058.1156070409
TGO,1991,2158.8791103229
THA,1991,9294.03106255394
TJK,1991,3777.10750632183
TKM,1991,7373.58419213153
TLA,1991,12568.2968812045
TLS,1991,2318.79430546514
TMN,1991,6309.72287354571
TON,1991,4766.38831308568
TSA,1991,2207.15229366238
TSS,1991,3692.96647842761
TTO,1991,12142.348150297
TUN,1991,6859.73427153777
TUR,1991,12057.9354360192
TUV,1991,3046.97157558262
TZA,1991,1785.66394042969
UGA,1991,1103.22897278835
UKR,1991,20784.16015625
UMC,1991,5984.32675765166
URY,1991,14474.7327106176
USA,1991,43742.0261213549
UZB,1991,4094.22736556456
VCT,1991,7524.58477815963
VNM,1991,2560.84383496164
VUT,1991,3120.69378889379
WLD,1991,11166.5096464532
WSM,1991,3891.62983852199
ZAF,1991,10459.3559818564
ZMB,1991,2364.86234039956
ZWE,1991,6254.27473513148
ABW,1992,34371.1629150514
AFE,1992,3251.64780568922
AFW,1992,4084.13142873599
AGO,1992,7447.49422684139
ALB,1992,3761.15540576541
AND,1992,45246.53307101
ARB,1992,11300.3782519781
ARE,1992,104206.754890763
ARG,1992,19476.2840606477
ARM,1992,3136.72428260526
ATG,1992,21330.2731918527
AUS,1992,35426.2848289008
AUT,1992,44734.8538849803
AZE,1992,8050.21624195194
BDI,1992,1476.99435502804
BEL,1992,42719.0486134245
BEN,1992,2226.56666006625
BFA,1992,1152.04476095096
BGD,1992,2174.38232866943
BGR,1992,12961.0385307712
BHR,1992,49511.9474019627
BHS,1992,29412.8804985919
BIH,1992,2150.91966830521
BLR,1992,11002.6017626136
BLZ,1992,9967.77779283553
BMU,1992,75766.6971046445
BOL,1992,6414.32866802843
BRA,1992,12271.9788476188
BRB,1992,17660.3232739416
BRN,1992,111457.220883519
BTN,1992,3624.59781500136
BWA,1992,11008.6810214184
CAF,1992,1294.20254725767
CAN,1992,39023.182197815
CEB,1992,14722.8538640451
CHE,1992,61922.8908444333
CHL,1992,12735.6013333406
CHN,1992,2030.38636999332
CIV,1992,4843.29349256353
CMR,1992,3974.27759501196
COD,1992,1842.5484850692
COG,1992,8636.63719209923
COL,1992,10196.4329707468
COM,1992,2999.12250768543
CPV,1992,1984.68062998835
CRI,1992,11626.8361274299
CSS,1992,13642.1516584395
CYP,1992,28931.935546875
CZE,1992,24584.3299626051
DEU,1992,44672.6920465936
DMA,1992,11747.6117144571
DNK,1992,47540.9254822308
DOM,1992,7900.76809265865
DZA,1992,11241.4154173757
EAP,1992,2897.24004570124
EAR,1992,5301.01106001962
EAS,1992,6222.93396284576
ECA,1992,11660.1547156343
ECS,1992,26826.2902880589
ECU,1992,9291.3710483042
EGY,1992,8034.56230125827
EMU,1992,38717.4739162339
ESP,1992,32641.082719936
EST,1992,14225.2314074483
ETH,1992,680.834766978053
EUU,1992,33679.7903059985
FCS,1992,5667.52203032208
FIN,1992,34926.3833591341
FJI,1992,7950.06640992603
FRA,1992,39331.9041920718
FSM,1992,3347.64556913981
GAB,1992,23268.9974721281
GBR,1992,32797.7299280942
GEO,1992,5533.21082317728
GHA,1992,2897.83543196858
GIN,1992,2076.55062690695
GMB,1992,2604.26903326754
GNB,1992,1987.61538633299
GNQ,1992,1390.47918482013
GRC,1992,27401.424003405
GRD,1992,8785.75882374895
GRL,1992,36343.125721052
GTM,1992,7822.25981413262
GUY,1992,5799.21836066806
HIC,1992,34720.8131152529
HKG,1992,34895.7612081565
HND,1992,1521.94721692982
HPC,1992,2061.46625080527
HRV,1992,17020.237492582
HTI,1992,3668.31318736615
HUN,1992,18197.5305521351
IBD,1992,6021.16826049023
IBT,1992,5367.04528486614
IDA,1992,2848.73739440577
IDB,1992,4342.95477400257
IDN,1992,5357.3758979759
IDX,1992,2053.54741539897
IND,1992,2249.69790389274
IRL,1992,30744.1914629607
IRN,1992,10727.4183671547
IRQ,1992,4916.26440292878
ISL,1992,39842.3760942383
ISR,1992,26752.4006346892
ITA,1992,43614.4850883758
JAM,1992,9315.8581885588
JOR,1992,7737.96922068777
JPN,1992,36563.6226393696
KAZ,1992,14045.1035780375
KEN,1992,3946.84093437851
KGZ,1992,4701.99138098658
KHM,1992,2769.4882552665
KIR,1992,2495.99640204714
KNA,1992,14557.184258305
KOR,1992,16613.4907015983
KWT,1992,43266.9328651676
LAC,1992,12535.8803602005
LAO,1992,2088.02004083238
LBN,1992,8924.15264553271
LBR,1992,1115.03770816852
LBY,1992,19538.138704794
LCA,1992,18166.2078109226
LCN,1992,12735.4888976957
LDC,1992,1890.20483186229
LIC,1992,2042.21255774387
LKA,1992,4866.23941153137
LMC,1992,3050.2703594091
LMY,1992,4536.61797733543
LSO,1992,1571.8270420314
LTE,1992,6287.44677484458
LTU,1992,15280.3886006381
LUX,1992,87729.3985979581
LVA,1992,10582.2070186664
MAC,1992,58652.7899194928
MAR,1992,4483.24951171875
MDA,1992,9461.42772606577
MDG,1992,1757.29459775259
MDV,1992,9120.9918309279
MEA,1992,9368.71574867606
MEX,1992,17796.4059642863
MHL,1992,4029.34125092657
MIC,1992,4713.16548346677
MKD,1992,11486.7759347648
MLI,1992,1942.72857142808
MLT,1992,19513.1848222048
MMR,1992,821.327755047125
MNA,1992,6445.51855503461
MNG,1992,5324.48759689987
MOZ,1992,510.82282292831
MRT,1992,5350.1180367309
MUS,1992,9838.10232774766
MWI,1992,994.036504790471
MYS,1992,13567.8936121181
NAC,1992,44104.3657635902
NAM,1992,7911.01025804281
NER,1992,1347.33229741984
NGA,1992,5403.15311816844
NIC,1992,4037.27548904798
NLD,1992,44245.5254850329
NOR,1992,60333.4494661276
NPL,1992,1896.97166297747
NRU,1992,19620.383633736
NZL,1992,28938.0980223644
OED,1992,33501.6285243951
OMN,1992,36841.4011555658
OSS,1992,13505.9836557324
PAK,1992,3404.12138406329
PAN,1992,11649.7957720553
PER,1992,6161.63575258419
PHL,1992,4293.71810131081
PLW,1992,16728.0210226785
PNG,1992,3690.34502629694
POL,1992,12141.2351323725
PRE,1992,3231.03822609274
PRI,1992,28219.1160498293
PRT,1992,28776.0475772619
PRY,1992,9948.42118145656
PSS,1992,5483.02010196233
PST,1992,36715.8493564066
QAT,1992,73450.9520794121
ROU,1992,13195.0965262879
RUS,1992,23965.244140625
RWA,1992,1112.59034456897
SAS,1992,2278.29562275307
SAU,1992,67183.9100290945
SDN,1992,2709.7900390625
SEN,1992,2874.00297966311
SGP,1992,48897.810341575
SLB,1992,2644.50052422748
SLE,1992,2257.44939868809
SLV,1992,6275.18767116905
SOM,1992,803.787078571713
SSA,1992,3886.87024084937
SSF,1992,3585.8898110554
SST,1992,12543.2679132641
STP,1992,3798.88352929514
SUR,1992,17455.1256454322
SVK,1992,13951.9084432838
SVN,1992,21845.9628529312
SWE,1992,39120.9249133997
SWZ,1992,5291.89629062784
SYC,1992,16744.5080816034
SYR,1992,6662.24314240165
TCD,1992,1853.67667631479
TEA,1992,2932.52321935054
TEC,1992,16059.1904084251
TGO,1992,2015.13566927499
THA,1992,9886.89982869121
TJK,1992,2630.38658066186
TKM,1992,6128.91556148756
TLA,1992,12691.7281872654
TLS,1992,2493.90862041689
TMN,1992,6459.15146530137
TON,1992,4772.33111247152
TSA,1992,2278.29562275307
TSS,1992,3585.8898110554
TTO,1992,13267.9770581707
TUN,1992,7241.29105894738
TUR,1992,12451.0451201156
TUV,1992,3093.82679444063
TZA,1992,1751.91845703125
UGA,1992,1102.72992145701
UKR,1992,18671.873046875
UMC,1992,6093.58100268088
URY,1992,15536.4872092796
USA,1992,44659.1514617994
UZB,1992,3547.3114038795
VCT,1992,7984.07959662088
VNM,1992,2726.47373748487
VUT,1992,3122.88933397766
WLD,1992,11132.3795188013
WSM,1992,3861.88898142388
ZAF,1992,10053.6101212292
ZMB,1992,2268.49812195378
ZWE,1992,5532.03740345063
ABW,1993,34540.335984878
AFE,1993,3127.2935723296
AFW,1993,3922.47563167491
AGO,1993,5483.27751126366
ALB,1993,4145.91969834494
AND,1993,42605.6595832451
ARB,1993,11345.8260268161
ARE,1993,100422.631522038
ARG,1993,20791.3451479504
ARM,1993,2958.88037185647
ATG,1993,22051.4373204261
AUS,1993,36533.1468283451
AUT,1993,44601.2068091388
AZE,1993,6097.48622316834
BDI,1993,1429.12129549201
BEL,1993,42143.196061205
BEN,1993,2254.24565428893
BFA,1993,1162.64923453351
BGD,1993,2234.8101219225
BGR,1993,12871.4500732157
BHR,1993,54433.1375084971
BHS,1993,28955.3510589021
BIH,1993,2281.89928050593
BLR,1993,10143.9840118445
BLZ,1993,10366.8590598807
BMU,1993,77503.4644231796
BOL,1993,6556.81640305094
BRA,1993,12669.4287208252
BRB,1993,17748.5545234391
BRN,1993,107899.136339239
BTN,1993,3850.551287421
BWA,1993,10902.9512774946
CAF,1993,1257.8284033824
CAN,1993,39622.4790617509
CEB,1993,14768.8169720575
CHE,1993,61284.2042587758
CHL,1993,13377.3053213538
CHN,1993,2286.75974444182
CIV,1993,4645.46750871805
CMR,1993,3556.31854424592
COD,1993,1538.39690696229
COG,1993,8302.69726834941
COL,1993,10533.1149561734
COM,1993,3019.88376220683
CPV,1993,2111.62140814748
CRI,1993,12144.4487480733
CSS,1993,13564.2388567604
CYP,1993,28439.33203125
CZE,1993,24573.9914877529
DEU,1993,43948.1489792699
DMA,1993,11982.8592553573
DNK,1993,47345.4134295964
DOM,1993,8318.49178576126
DZA,1993,10743.7063534104
EAP,1993,3154.1141524907
EAR,1993,5376.94456752368
EAS,1993,6469.88397735049
ECA,1993,10873.0702430801
ECS,1993,26191.4875336062
ECU,1993,9284.31503431235
EGY,1993,8079.05480680472
EMU,1993,38265.7378168712
ESP,1993,32137.3138437727
EST,1993,13758.2953399439
ETH,1993,743.708485795208
EUU,1993,33378.2824103477
FCS,1993,5233.77760848634
FIN,1993,34486.7522555352
FJI,1993,8067.80447464731
FRA,1993,39020.6141584284
FSM,1993,3543.74966824326
GAB,1993,23551.6812533724
GBR,1993,33861.2523742725
GEO,1993,3882.02029747648
GHA,1993,2964.26600943658
GIN,1993,2115.8664959394
GMB,1993,2586.13041645703
GNB,1993,1963.44000410032
GNQ,1993,1487.81202528588
GRC,1993,26804.8537616148
GRD,1993,8548.03859699698
GRL,1993,34578.3464998854
GTM,1993,7915.4069288614
GUY,1993,6247.86624866594
HIC,1993,34667.575693771
HKG,1993,36428.527042456
HND,1993,1681.08238779882
HPC,1993,2005.60640033095
HRV,1993,15570.4034135024
HTI,1993,3401.75901805261
HUN,1993,18113.3369069655
IBD,1993,6047.96575158436
IBT,1993,5371.29814230841
IDA,1993,2796.71498569607
IDB,1993,4208.56340532989
IDN,1993,5609.15178814269
IDX,1993,2047.12043765733
IND,1993,2307.60714181108
IRL,1993,31414.5961920787
IRN,1993,10531.9952777275
IRQ,1993,6105.04166284592
ISL,1993,39957.3221402786
ISR,1993,27123.1073850066
ITA,1993,43216.1096444751
JAM,1993,10088.232357755
JOR,1993,7675.47163756117
JPN,1993,36277.9231838837
KAZ,1993,12795.8746425372
KEN,1993,3844.92029783599
KGZ,1993,3973.88323931033
KHM,1993,2714.59150059884
KIR,1993,2455.44987557043
KNA,1993,15348.6887799847
KOR,1993,17595.9036148432
KWT,1993,56684.1863309395
LAC,1993,12892.873380979
LAO,1993,2152.2765966407
LBN,1993,9695.31549182752
LBR,1993,718.683238814764
LBY,1993,18434.641128465
LCA,1993,18004.0320073031
LCN,1993,13103.5603890904
LDC,1993,1831.60497342642
LIC,1993,1978.61884653466
LKA,1993,5114.43630396951
LMC,1993,3055.9973511995
LMY,1993,4622.68930133428
LSO,1993,1602.59633239095
LTE,1993,6353.67885470655
LTU,1993,12861.6949141098
LUX,1993,90195.6629009997
LVA,1993,10255.1413776101
MAC,1993,59589.975909516
MAR,1993,4379.76416015625
MDA,1993,9363.59309935118
MDG,1993,1740.29513594203
MDV,1993,9378.52243653043
MEA,1993,9318.9038437748
MEX,1993,17970.5871849494
MHL,1993,4207.40977456892
MIC,1993,4810.46014929843
MKD,1993,10764.7468770222
MLI,1993,1985.38064863365
MLT,1993,20184.9137245386
MMR,1993,859.345526733596
MNA,1993,6382.21697250827
MNG,1993,5162.0998701038
MOZ,1993,549.048759770955
MRT,1993,5439.82228766957
MUS,1993,10216.2423835678
MWI,1993,1074.58485213269
MYS,1993,14533.790397007
NAC,1993,44730.6155696295
NAM,1993,7541.56081791845
NER,1993,1309.6112110994
NGA,1993,5154.75757918925
NIC,1993,3934.09275716749
NLD,1993,44490.7561855682
NOR,1993,61681.8032830775
NPL,1993,1916.94352666156
NRU,1993,16326.1379484655
NZL,1993,30438.6278566661
OED,1993,33675.1426668963
OMN,1993,37455.340258395
OSS,1993,13483.805370705
PAK,1993,3369.23795906028
PAN,1993,12032.8075975884
PER,1993,6355.26196593997
PHL,1993,4283.15967786629
PLW,1993,14327.2728583551
PNG,1993,4206.42911730353
POL,1993,12563.1045363124
PRE,1993,3108.25214086957
PRI,1993,29282.1121792431
PRT,1993,28153.6155177216
PRY,1993,10178.4547948467
PSS,1993,5511.93157318265
PST,1993,36742.9266476775
QAT,1993,70250.6988205416
ROU,1993,13415.0744360432
RUS,1993,21899.517578125
RWA,1993,984.217529921952
SAS,1993,2338.6490943805
SAU,1993,64517.6652891052
SDN,1993,2777.27490234375
SEN,1993,2834.02797281318
SGP,1993,53139.844472382
SLB,1993,2669.67595845149
SLE,1993,2293.56354039047
SLV,1993,6553.07234073841
SOM,1993,812.557291159159
SSA,1993,3728.49905322175
SSF,1993,3446.39871711459
SST,1993,12506.744834051
STP,1993,3771.28612416062
SUR,1993,16217.1660347103
SVK,1993,14163.0137339867
SVN,1993,22520.738313268
SWE,1993,38090.9458960736
SWZ,1993,5299.53230535423
SYC,1993,17596.8977617171
SYR,1993,6861.79504697602
TCD,1993,1526.05432530002
TEA,1993,3192.50076716958
TEC,1993,14987.2367572637
TGO,1993,1721.57369094046
THA,1993,10538.8163895497
TJK,1993,2169.96747353928
TKM,1993,6085.5255499597
TLA,1993,13054.5685672704
TLS,1993,2674.399260003
TMN,1993,6396.37700879669
TON,1993,4946.71766246431
TSA,1993,2338.6490943805
TSS,1993,3446.39871711459
TTO,1993,13088.7073855168
TUN,1993,7253.33614579881
TUR,1993,13174.4671161888
TUV,1993,3189.94908833217
TZA,1993,1718.39306640625
UGA,1993,1153.99369070318
UKR,1993,16012.3720703125
UMC,1993,6281.13340657984
URY,1993,15865.2775154336
USA,1993,45286.9355090342
UZB,1993,3386.46207695591
VCT,1993,8306.77527139188
VNM,1993,2890.42431737761
VUT,1993,3069.80583421676
WLD,1993,11125.6559484613
WSM,1993,3986.45388042165
ZAF,1993,9976.96506458374
ZMB,1993,2365.62953630778
ZWE,1993,5509.0831125663
ABW,1994,35490.7214500469
AFE,1994,3099.31243976356
AFW,1994,3806.75661371094
AGO,1994,5379.47533872491
